5224,Cargo handling,522,Support activities for transportation,52,Warehousing  and support activities for transportation,"H ",Transportation and storage
5224,Cargo handling,522,Support activities for transportation,52,Sales workers,5,Service and sales workers
5224,Cargo handling,522,Shop salespersons,52,Warehousing  and support activities for transportation,"H ",Transportation and storage
5224,Cargo handling,522,Shop salespersons,52,Sales workers,5,Service and sales workers
2431,Casting of iron and steel,243,"Sales, marketing and public relations professionals",24,Manufacture of basic metals,C,Manufacturing
2431,Casting of iron and steel,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Machines
2431,Casting of iron and steel,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2431,Casting of iron and steel,243,Casting of metals,24,Manufacture of basic metals,C,Manufacturing
2431,Casting of iron and steel,243,Casting of metals,24,Business and administration professionals,2,Machines
2431,Casting of iron and steel,243,Casting of metals,24,Business and administration professionals,2,Professionals
6411,Central banking,641,Monetary intermediation,64,"Financial service activities, except insurance and pension funding",k,Financial and insurance activities
3811,Collection of non-hazardous waste,381,Waste collection,38,"Waste collection, treatment and disposal activities; materials recovery",E,"Water supply; sewerage, waste management and remediation activities"
8110,Combined facilities support activities,811,Mining and mineral processing plant operators,81,Services to buildings and landscape activities,N,Administrative and support service activities
8110,Combined facilities support activities,811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8110,Combined facilities support activities,811,Combined facilities support activities,81,Services to buildings and landscape activities,N,Administrative and support service activities
8110,Combined facilities support activities,811,Combined facilities support activities,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8430,Compulsory social security activities,843,Compulsory social security activities,84,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security
6202,Computer consultancy and computer facilities management activities,620,"Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",J,Information and communication
6202,Computer consultancy and computer facilities management activities,620,"Computer programming, consultancy and related activities",62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled agricultural, forestry and fishery workers"
4290,Construction of other civil engineering projects,429,Construction of other civil engineering projects,42,Customer services clerks,4,Clerical support workers
4290,Construction of other civil engineering projects,429,Construction of other civil engineering projects,42,Civil engineering,F,Construction
4210,Construction of roads and railways,421,"Tellers, money collectors and related clerks",42,Customer services clerks,4,Clerical support workers
4210,Construction of roads and railways,421,"Tellers, money collectors and related clerks",42,Civil engineering,F,Construction
4210,Construction of roads and railways,421,Construction of roads and railways,42,Customer services clerks,4,Clerical support workers
4210,Construction of roads and railways,421,Construction of roads and railways,42,Civil engineering,F,Construction
4220,Construction ofutility projects,422,Construction ofutility projects,42,Customer services clerks,4,Clerical support workers
4220,Construction ofutility projects,422,Construction ofutility projects,42,Civil engineering,F,Construction
4220,Construction ofutility projects,422,Client information workers,42,Customer services clerks,4,Clerical support workers
4220,Construction ofutility projects,422,Client information workers,42,Civil engineering,F,Construction
9000,"Creative, arts and entertainment activities",900,"Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation"
8542,Cultural education,854,Other education,85,Education,P,Education
2396,"Cutting, shaping and finishing of stone",239,OTHER vehicles,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2396,"Cutting, shaping and finishing of stone",239,OTHER vehicles,23,Teaching professionals,2,Machines
2396,"Cutting, shaping and finishing of stone",239,OTHER vehicles,23,Teaching professionals,2,Professionals
2396,"Cutting, shaping and finishing of stone",239,OTHER vehicles,23,Vehicles used for …,2,Machines
2396,"Cutting, shaping and finishing of stone",239,OTHER vehicles,23,Vehicles used for …,2,Professionals
2396,"Cutting, shaping and finishing of stone",239,Manufacture of non-metallic mineral products n.e.c.,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2396,"Cutting, shaping and finishing of stone",239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Machines
2396,"Cutting, shaping and finishing of stone",239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Professionals
2396,"Cutting, shaping and finishing of stone",239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Machines
2396,"Cutting, shaping and finishing of stone",239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Professionals
8422,Defense activities,842,Provision of services to the community as a whole,84,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security
4311,Demolition,431,Numerical clerks,43,Specialized construction activities,F,Construction
4311,Demolition,431,Numerical clerks,43,Numerical and material recording clerks,4,Clerical support workers
4311,Demolition,431,Demolition and site preparation,43,Specialized construction activities,F,Construction
4311,Demolition,431,Demolition and site preparation,43,Numerical and material recording clerks,4,Clerical support workers
1101,"Distilling, rectifying and blending of spirits",110,Manufacture of beverages,11,Manufacture of beverages,C,Manufacturing
1101,"Distilling, rectifying and blending of spirits",110,Manufacture of beverages,11,"Chief executives, senior officials and legislators",1,Managers
1101,"Distilling, rectifying and blending of spirits",110,Manufacture of beverages,11,"Chief executives, senior officials and legislators",1,Tools
1101,"Distilling, rectifying and blending of spirits",110,Manufacture of beverages,11,Non-power-driven tools used for …,1,Managers
1101,"Distilling, rectifying and blending of spirits",110,Manufacture of beverages,11,Non-power-driven tools used for …,1,Tools
8550,Educational support activities,855,Educational support activities,85,Education,P,Education
4321,Electrical installation,432,Material-recording and transport clerks,43,Specialized construction activities,F,Construction
4321,Electrical installation,432,Material-recording and transport clerks,43,Numerical and material recording clerks,4,Clerical support workers
4321,Electrical installation,432,"Electrical, plumbing and othe construction installation activities",43,Specialized construction activities,F,Construction
4321,Electrical installation,432,"Electrical, plumbing and othe construction installation activities",43,Numerical and material recording clerks,4,Clerical support workers
5621,Event catering,562,Event catering and other food service activities,56,Food and beverage service activities,"I ",Accommodation and food service activities
0127,Growing of beverage crops,012,Growing of perennial crops,01,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",012,Growing of perennial crops,01,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
6491,Financial leasing,649,"Other financial service activities, except insurance and pension funding activities",64,"Financial service activities, except insurance and pension funding",k,Financial and insurance activities
